,count,MAE,bias
negative_residual_regime,48.0,67.11455333468659,67.03075149260042
surplus_regime,86.0,47.75854976050169,47.70281794502333
extreme_surplus_regime,52.0,62.504043536209466,62.41187168753372
tight_regime,25.0,20.666041663970272,-1.1038196568902823
extreme_tight_regime,6.0,18.562770356291637,-8.97545017090728
high_vre_regime,77.0,48.342899566496186,48.20314475329032
