datetime,actual_price,baseline_fair_value,improved_fair_value,baseline_spread,improved_spread
2026-04-04 17:00:00+02:00,62.74,76.78685249893715,63.746399759717654,-14.046852498937149,-1.0063997597176524
2026-04-04 18:00:00+02:00,109.6,112.01245363767273,108.3347550546394,-2.4124536376727406,1.2652449453605925
2026-04-04 19:00:00+02:00,149.87,133.34942347665304,134.31304632249004,16.52057652334696,15.556953677509966
2026-04-04 20:00:00+02:00,135.74,127.66857929952027,136.25452269372278,8.071420700479734,-0.5145226937227676
2026-04-04 21:00:00+02:00,103.84,110.25879207246051,112.70223538754657,-6.418792072460505,-8.862235387546562
2026-04-04 22:00:00+02:00,76.81,93.74162582999747,100.87508487457796,-16.931625829997472,-24.065084874577963
2026-04-04 23:00:00+02:00,41.83,77.41941375613524,82.32065063199481,-35.589413756135244,-40.49065063199481
2026-04-05 00:00:00+02:00,1.06,51.90528887493037,32.58849047105292,-50.84528887493037,-31.528490471052923
2026-04-05 01:00:00+02:00,-0.01,38.43016430958884,4.154241772920999,-38.44016430958884,-4.164241772920999
2026-04-05 02:00:00+02:00,-0.36,28.138948742359812,0.3300381392828382,-28.49894874235981,-0.6900381392828382
2026-04-05 03:00:00+02:00,-1.21,20.239395503333395,1.5218470844299978,-21.449395503333395,-2.731847084429998
2026-04-05 04:00:00+02:00,-1.62,15.720288286809886,0.7026928889529607,-17.340288286809887,-2.322692888952961
2026-04-05 05:00:00+02:00,-2.04,10.446531649245753,1.3126503247715986,-12.486531649245752,-3.3526503247715986
2026-04-05 06:00:00+02:00,-2.99,5.2168430885660895,2.4259368412575424,-8.206843088566089,-5.415936841257542
2026-04-05 07:00:00+02:00,-1.29,1.764408637624963,-0.5832613910365199,-3.054408637624963,-0.7067386089634802
2026-04-05 08:00:00+02:00,-2.43,-9.649470822229649,-4.4412442100681,7.219470822229649,2.0112442100681
2026-04-05 09:00:00+02:00,-10.56,-24.914881943377782,-5.326275046800034,14.354881943377782,-5.233724953199967
2026-04-05 10:00:00+02:00,-39.97,-41.67185562246478,-5.886689821517073,1.7018556224647838,-34.083310178482925
2026-04-05 11:00:00+02:00,-71.34,-54.34081882862113,-11.310687606638048,-16.999181171378872,-60.029312393361955
2026-04-05 12:00:00+02:00,-84.95,-61.12095143541364,-10.539597139563094,-23.829048564586365,-74.4104028604369
2026-04-05 13:00:00+02:00,-105.18,-62.72653519398886,-10.534355293283472,-42.45346480601115,-94.64564470671654
2026-04-05 14:00:00+02:00,-98.71,-58.71185987263416,-8.802743706090784,-39.998140127365836,-89.90725629390921
2026-04-05 15:00:00+02:00,-66.91,-48.35132572646702,-3.233360245957079,-18.55867427353298,-63.67663975404292
2026-04-05 16:00:00+02:00,-29.98,-28.241352568020194,-4.331791303856514,-1.7386474319798069,-25.648208696143485
2026-04-05 17:00:00+02:00,-6.59,-2.3275326947935087,-3.4217323670862343,-4.262467305206491,-3.1682676329137656
2026-04-05 18:00:00+02:00,-0.1,26.086869264886527,-0.4852238555013292,-26.18686926488653,0.3852238555013292
2026-04-05 19:00:00+02:00,20.04,47.544470499315366,33.524379185435215,-27.504470499315367,-13.484379185435216
2026-04-05 20:00:00+02:00,33.35,55.64589937679876,42.864310686937124,-22.295899376798758,-9.514310686937122
2026-04-05 21:00:00+02:00,30.21,56.91995777268136,45.30811131402928,-26.709957772681356,-15.098111314029282
2026-04-05 22:00:00+02:00,30.38,55.67368292666852,41.95079275780134,-25.29368292666852,-11.570792757801339
2026-04-05 23:00:00+02:00,19.02,49.174751087246385,23.662933658107416,-30.154751087246385,-4.642933658107417
2026-04-06 00:00:00+02:00,3.24,49.21960873846141,22.789907233598683,-45.97960873846141,-19.54990723359868
2026-04-06 01:00:00+02:00,1.99,44.70744400327745,12.609123203927775,-42.71744400327745,-10.619123203927774
2026-04-06 02:00:00+02:00,1.04,41.90254384032459,11.532294191905788,-40.86254384032459,-10.492294191905788
2026-04-06 03:00:00+02:00,1.36,41.31615708665139,10.087053316625711,-39.95615708665139,-8.727053316625712
2026-04-06 04:00:00+02:00,1.06,43.988912638271565,16.15746035309965,-42.92891263827156,-15.09746035309965
2026-04-06 05:00:00+02:00,2.11,47.19530592660781,29.250113577541917,-45.08530592660781,-27.140113577541918
2026-04-06 06:00:00+02:00,1.99,49.232531372788166,41.665255067157894,-47.242531372788164,-39.67525506715789
2026-04-06 07:00:00+02:00,1.33,48.453722982876855,38.99490593383449,-47.123722982876856,-37.66490593383449
2026-04-06 08:00:00+02:00,-0.94,36.333634765592954,12.212844545104357,-37.27363476559295,-13.152844545104356
2026-04-06 09:00:00+02:00,-11.1,16.967903922147112,4.927268009433392,-28.06790392214711,-16.027268009433392
2026-04-06 10:00:00+02:00,-26.0,-2.8622937238030532,-0.12257978103778777,-23.137706276196948,-25.87742021896221
2026-04-06 11:00:00+02:00,-59.76,-17.048967295227744,-2.249001655260065,-42.71103270477225,-57.51099834473993
2026-04-06 12:00:00+02:00,-79.52,-25.58097370748631,-2.8110053568451443,-53.93902629251369,-76.70899464315485
